event,location,latitude,longitude,event_type
"Protestant nations in Western Europe , except England , start using the Gregorian calendar . Catholic nations have been using the Gregorian calendar since its introduction in 1582 by Pope Gregory XIII .",Western Europe,48.8,2.3,calendar reform
"At approximately 9 p.m., the Cascadia earthquake occurs in the Pacific Northwest , with an estimated moment magnitude of 8.7–9.2. This megathrust earthquake ruptures about 1,000 kilometers (620 miles) of the Cascadia Subduction Zone and causes a tsunami , that strikes the coast of Japan approximately 10 hours later.",Pacific Northwest,45.5,-122.0,cataclysm or fire
"The 'Lesser Great Fire' destroys a substantial part of central Edinburgh , Scotland.","Edinburgh, Scotland",55.9,-3.2,cataclysm or fire
"The Great Northern War begins with a joint invasion of Swedish territory in Germany and Latvia , by Denmark and Poland / Saxony . Sweden has control of the Baltic Sea and holds territory that includes Finland, Estonia , Latvia and parts of northern Germany. To challenge its power, an alliance is formed between Tsar Peter I of Russia , King Frederick IV of Denmark and Augustus II the Strong , King of Poland and Elector of Saxony. Sweden's ruler is the militaristic Charles XII , known as the ""Swedish Meteor"".",Sweden,60.0,15.0,war
"The island of New Britain is discovered by William Dampier , in the western Pacific.",New Britain,8.5,147.0,none
Shivaji II accedes to the throne of the Maratha Empire as the 4th Chhatrapati after his father Rajaram I 's death.,India,20.0,78.0,dynasty change
"The Treaty of London is signed between France , England and the Dutch Republic .","London, United Kingdom",51.5,-0.1,none
The coronation of King Frederick IV of Denmark takes place at Frederiksborg Castle in Copenhagen .,"Copenhagen, Denmark",55.7,12.5,dynasty change
"Hungarian freedom activist Ferenc Rákóczi is arrested by Austrian authorities and charged with sedition. Imprisoned near Vienna and facing a death sentence, he escapes and later leads the overthrow of the Habsburg control of Hungary.",Austria,48.2,16.4,revolution or coup
"In India , the siege of the fortress of Sajjangad (located in the Maharashtra state) is begun by an army led by Fateullahakhan. The fortress falls on June 6.","Sajjangad, Maharashtra, India",19.2,73.8,war
"Within a few days of poet John Dryden 's death in London ( May 1 O.S.), his last written work ( The Secular Masque ) is performed as part of Vanbrugh 's version of The Pilgrim .","London, United Kingdom",51.5,-0.1,none
"The Prussian Academy of Sciences is founded, with Gottfried Leibniz as president.","Berlin, Prussia (Germany)",52.5,13.4,none
"Charles XII of Sweden counter-attacks his enemies by invading Zealand (Denmark), assisted by an Anglo-Dutch naval squadron under Sir George Rooke , rapidly compelling the Danes to submit to peace.","Zealand, Denmark",55.5,12.5,war
"Eleven-year-old Prince William, Duke of Gloucester , dies of ""a malignant fever"" at Windsor Castle , leaving the Protestant succession to the British throne in doubt.","Windsor Castle, United Kingdom",51.457,-0.747,epidemic
"Edmond Halley returns to England after a voyage of almost one year on HMS Paramour , from which he has observed the Antarctic Convergence , and publishes his findings on terrestrial magnetism in General Chart of the Variation of the Compass .",England,54.0,-2.0,none
Antioh Cantemir is deposed as the voivode of Moldavia and replaced by his predecessor Constantine Ducas .,Moldavia,47.0,28.0,revolution or coup
14 – Rising-sun hurricane of 1700 strikes the coast of South Carolina killing 98.,"South Carolina, United States",33.0,-80.0,cataclysm or fire
"Pope Innocent XII dies at the age of 85 after a tenure of more than nine years. Fabrizio Spada , the Cardinal Secretary of State , assumes administration of the Roman Catholic Church in order to oversee the election of a new Pope.","Rome, Italy",41.9,12.5,none
"The Battle of Jouami' al-Ulama takes place in Algeria with a surprise attack and ambush on the army of Murad III Bey of Tunis by two Algerian defenders, Hadj Mustapha, Dey of Algiers and Ahmed ben Ferhat, Beylik of Constantine .",Algeria,28.0,-2.0,war
"Adrian, Patriarch of All Russia , dies after more than 10 years as head of the Russian Orthodox Church. He is replaced by the hand-picked choice of Tsar Peter the Great with the appointment of Simeon Ivanovich Yavorsky as Patriarch Stefan .",Russia,55.8,37.6,religious reform
"Charles II , the last Spanish king of the House of Habsburg , dies at the Royal Alcazar of Madrid aged 38, leaving no children; his last will makes Philip of Anjou his heir.","Madrid, Spain",40.4,-3.7,dynasty change
"Louis XIV of France accepts the Spanish crown on behalf of his grandson Philip of Anjou of the House of Bourbon , who becomes Philip V of Spain (reigning for 44 years – with a short break – to 1746 ), thus triggering the War of the Spanish Succession ( 1701 – 1714 ).",Spain,40.4,-3.7,revolution or coup
Lithuanian Civil War : Battle of Valkininkai – The anti- Sapieha coalition is victorious.,"Valkininkai, Lithuania",54.8833,24.6833,war
"Cardinal Giovanni Francesco Albani, having been ordained as a Roman Catholic priest only two months earlier, is elected by the Papal conclave to succeed Pope Innocent XII , and becomes the 243rd pope , taking the name of Clement XI .","Rome, Italy",41.9,12.5,dynasty change
The formal coronation of Pope Clement XI takes place in Rome.,Rome,41.9,12.5,none
"Laurence Hyde, 1st Earl of Rochester , Lord President of the Council in charge of the Privy Council, is appointed to the additional job of Lord Lieutenant of Ireland , the highest Crown official in charge of administration of Ireland, .",Ireland,53.5,-6.2,none
"The electorate of Brandenburg-Prussia becomes the Kingdom of Prussia , as Elector Frederick III is proclaimed King Frederick I . Prussia remains part of the Holy Roman Empire . It consists of Brandenburg , Pomerania and East Prussia . Berlin is the capital.",Brandenburg-Prussia,52.5,13.4,dynasty change
Battle of Dartsedo : The Chinese storm the Tibetan border town of Dartsedo.,"Dartsedo, Tibet",29.9,99.9,war
"Safavid troops retreat from Basra , ending a three year occupation .",Basra,30.8,47.2,war
"In Japan, the young daimyō Asano Naganori is ordered to commit seppuku (ritual suicide). A group of 47 samurai of his service begin planning to avenge his death.",Japan,35.7,139.7,revolution or coup
"Scottish-born Captain William Kidd , having been imprisoned in Boston Gaol (Massachusetts) and Newgate Prison (London) and convicted by the High Court of Admiralty of piracy and the murder of one of his crew, is hanged at Execution Dock in Wapping (London). His body suffers gibbeting over the River Thames at Tilbury Point; ballads are already spreading the legend that he has left buried treasure in the Americas.","London, United Kingdom",51.5,-0.1,none
"The Act of Settlement 1701 is passed by the Parliament of England , to exclude the Catholic Stuarts from the British monarchy. Under its terms, King William III , childless, will be succeeded by Queen Mary II 's sister Princess Anne and her descendants. If Anne should have no descendants, she will be succeeded by Sophia of Hanover and her descendants (hence the Hanoverian Succession in 1714 ).",England,54.0,-2.0,dynasty change
